"study_family","dataset_count","counted_cohort_rows","not_counted_rows","unclear_countability_rows","primary_dataset_ids","all_dataset_ids","origin_types","omics_layers","diseases","specimen_types","anatomical_sites","clinical_trial_or_treatment","reuse_readiness_best","manual_review_needed","representative_source_url","notes"
"ACT1_infliximab_UC","2","1","1","0","DS106","DS062; DS106","Clinical trial or treatment cohort","Bulk transcriptomics","Ulcerative colitis","Colonic biopsies; Mucosal biopsies","Colon; Colon/intestinal mucosa","TRUE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE12251","Review sibling rows before counting cohorts."
"AIM2_IFI16_active_IBD_GSE59071","1","1","0","0","DS011","DS011","Public repository accession","Bulk transcriptomics","Crohn disease; Ulcerative colitis; controls","Intestinal mucosal biopsies","Colon","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59071","Single represented study-family row."
"Anti_TNF_longitudinal_single_cell_IBD","1","1","0","0","DS019","DS019","Clinical trial or treatment cohort","Bulk transcriptomics; Single-cell transcriptomics","Crohn disease; ulcerative colitis","Gut biopsies","Intestinal mucosa; gut regions","TRUE","Processed data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282122","Single represented study-family row."
"BERGAMOT_etrolizumab_Crohn","1","1","0","0","DS085","DS085","Clinical trial or treatment cohort","Bulk transcriptomics","Crohn disease","Intestinal biopsies","Ileum; colon; some tissue_site NA in GEO sample titles","TRUE","Processed data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152316","Single represented study-family row."
"Bacteroides_vulgatus_UC_multiomics","1","1","0","0","DS058","DS058","Public repository accession","Metabolomics; Metagenomics; Proteomics","Ulcerative colitis; controls","Stool samples","Stool","FALSE","Analysis-ready candidate","FALSE","https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000082094","Single represented study-family row."
"CERTIFI_ustekinumab_Crohn","1","1","0","0","DS102","DS102","Clinical trial or treatment cohort","Bulk transcriptomics","Crohn disease; inflammatory bowel disease; normal/control samples also appear in GEO sample metadata","Intestinal biopsies; whole blood","Multiple intestinal regions including ascending colon, terminal ileum, rectum; blood","TRUE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100833","Single represented study-family row."
"Crohn_behavior_colon_RNAseq_GSE66207","1","1","0","0","DS096","DS096","Public repository accession","Bulk transcriptomics","Crohn disease; non-IBD controls","Fresh-frozen colon tissue; macroscopically non-inflamed colon samples in this RNA-seq subseries","Colon","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66207","Single represented study-family row."
"Crohn_colon_splicing_GSE164871","1","1","0","0","DS093","DS093","Public repository accession","Bulk transcriptomics","Crohn disease; controls","Colon tissue","Colon","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164871","Single represented study-family row."
"Crohn_colon_wall_compartment_proteomics","1","1","0","0","DS054","DS054","Public repository accession","Multi-omics; Proteomics","Crohn disease","Colon resections","Colon mucosa; bowel wall; submucosa","FALSE","Analysis-ready candidate","FALSE","https://www.omicsdi.org/dataset/pride/PXD050335","Single represented study-family row."
"Crohn_creeping_fat_GSE156044","1","1","0","0","DS087","DS087","Public repository accession","Bulk transcriptomics","Crohn disease; healthy ileal controls","Mesenteric adipose tissue","Mesenteric adipose tissue; creeping fat; healthy mesenteric fat","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156044","Single represented study-family row."
"Crohn_diet_intervention_stool_metaproteomics","1","1","0","0","DS081","DS081","Public repository accession","Metaproteomics; Proteomics","Crohn disease; healthy household controls","Stool samples","Stool","FALSE","Analysis-ready candidate","FALSE","https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000093975","Single represented study-family row."
"Crohn_flare_serum_fecal_metabolomics","1","1","0","0","DS122","DS122","Public repository accession","Metabolomics","Crohn disease; controls","Serum; stool samples","Blood/serum; stool","FALSE","Raw data reusable","FALSE","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003312","Single represented study-family row."
"Crohn_ileal_colonic_ulcer_proteomics","1","1","0","0","DS051","DS051","Public repository accession","Proteomics","Crohn disease","Ileum and colon biopsies","Ileum; colon","FALSE","Analysis-ready candidate","FALSE","https://www.omicsdi.org/dataset/pride/PXD012284","Single represented study-family row."
"Crohn_serum_epithelial_component_proteins","1","1","0","0","DS050","DS050","Public repository accession","Proteomics","Crohn disease","Blood serum; low-mass 1-25 kDa serum fraction","Blood/serum","FALSE","Raw data reusable","FALSE","https://www.omicsdi.org/dataset/pride/PXD001821","Single represented study-family row."
"DNMT3A_epithelial_barrier_epigenomics","1","0","1","0","Unclear","DS032","Public repository accession","DNA methylation / epigenomics","IBD-relevant mechanism; experimental colitis","Caco-2 cells; mouse intestinal crypts; purified mouse intestinal epithelial cells","Colon; intestinal epithelium","FALSE","Processed data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210721","Single represented study-family row."
"EMBARK_Genentech_IBD_mucosal_microarray","1","1","0","0","DS016","DS016","Public repository accession","Bulk transcriptomics","Crohn disease; non-IBD controls; ulcerative colitis","Intestinal biopsies","Ileum; colon","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179285","Single represented study-family row."
"EUCALYPTUS_etrolizumab_UC","1","1","0","0","DS105","DS105","Clinical trial or treatment cohort","Bulk transcriptomics","Ulcerative colitis","Baseline colonic biopsies","Colon","TRUE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72819","Single represented study-family row."
"GEMINI_vedolizumab_UC_with_IFX_comparator","1","0","0","1","Unclear","DS088","Clinical trial or treatment cohort","Bulk transcriptomics","Ulcerative colitis; non-IBD controls","Colonic mucosal biopsies","Colon","TRUE","Processed data reusable","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73661","Review sibling rows before counting cohorts."
"GSE32148_IBD_PBL_methylation","1","1","0","0","DS029","DS029","Public repository accession","DNA methylation / epigenomics","Crohn disease; controls; ulcerative colitis","Peripheral blood","Blood","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32148","Single represented study-family row."
"GSE67250_Crohn_fibrosis_fibroblast_multiomics","1","1","0","0","DS097","DS097","Public repository accession","Bulk transcriptomics; DNA methylation / epigenomics","Crohn disease-associated fibrosis; diverticulitis controls","Purified/cultured human intestinal fibroblasts","Colon","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67250","Single represented study-family row."
"GSE87648_IBD_blood_EWAS","1","1","0","0","DS028","DS028","Consortium or atlas","DNA methylation / epigenomics","IBD; controls","Whole blood","Blood","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87648","Single represented study-family row."
"Gaujoux_IFX_CD_blood_GSE107865","1","1","0","0","DS069","DS069","Clinical trial or treatment cohort","Bulk transcriptomics","Crohn disease","PBMC","Blood","TRUE","Raw data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107865","Single represented study-family row."
"Genentech_Edinburgh_UC_colon_regional_microarray","1","1","0","0","DS065","DS065","Public repository accession","Bulk transcriptomics","Ulcerative colitis; healthy controls","Colon epithelial biopsies","Colon","FALSE","Raw data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11223","Single represented study-family row."
"Genentech_IBD_fecal_DIA_proteomics","1","1","0","0","DS023","DS023","Public repository accession","Proteomics","Crohn disease; Ulcerative colitis; healthy controls","Stool samples","Stool","FALSE","Analysis-ready candidate","FALSE","https://www.ebi.ac.uk/pride/archive/projects/PXD033158","Single represented study-family row."
"Gut_Cell_Atlas_IBDTransDB_source_cohort","1","1","0","0","DS077","DS077","Consortium or atlas","Bulk transcriptomics; Single-cell transcriptomics","Ulcerative colitis; healthy controls","Cells extracted from colonic biopsies; mucosal and circulating B-cell-focused analysis","Colon; colonic mucosa","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182270","Single represented study-family row."
"Gut_Cell_Atlas_source_cohort","1","1","0","0","DS078","DS078","Consortium or atlas","Bulk transcriptomics; Single-cell transcriptomics","Crohn disease; controls; varying inflammation status","Terminal ileum and colon cells across epithelial, immune, and stromal compartments","Terminal ileum; colon","FALSE","Processed data reusable","FALSE","https://singlecell.broadinstitute.org/single_cell/study/SCP1884","Single represented study-family row."
