"field","canonical_term","definition","examples_or_mapping_notes"
"sample_type","Mucosal biopsies","Endoscopic intestinal mucosal biopsy specimens.","Use site field for ileal, colonic, rectal, or mixed location."
"sample_type","Colonic biopsies","Endoscopic biopsy specimens from colon.","Prefer colonic biopsies over colon biopsies."
"sample_type","Rectal biopsy","Endoscopic biopsy specimen specifically from rectum.","Use rectal biopsy for specimen, rectum for anatomical site."
"sample_type","Stool samples","Fecal/stool biospecimens.","Prefer stool samples in specimen field; stool in anatomical site field."
"sample_type","Blood","Whole blood or unspecified blood-derived sample.","Use PBMC, serum, plasma when known."
"sample_type","PBMC","Peripheral blood mononuclear cells.","Avoid mixing PBMC with whole blood if source is explicit."
"tissue_site","Terminal ileum","Terminal ileal anatomical site.","Use ileum if terminal ileum cannot be confirmed."
"tissue_site","Colon","Colonic anatomical site, unspecified segment.","Specific segments can be sigmoid colon, rectum, ascending colon, etc."
"tissue_site","Rectum","Rectal anatomical site.","Do not use rectal biopsy here; that belongs in specimen type."
"tissue_site","Stool","Stool/fecal source.","Use stool samples in specimen type."
"disease","Crohn disease","Crohn disease diagnosis.","Use Crohn disease, not CD or Crohns disease."
"disease","Ulcerative colitis","Ulcerative colitis diagnosis.","Use ulcerative colitis, not UC."
"disease","Non-IBD controls","Controls without IBD.","Use healthy controls only when source says healthy."
"omics_layer","DNA methylation / epigenomics","DNA methylation or related epigenomic profiling.","Avoid methylation / epigenomics without DNA qualifier."
"data_access_status","Public raw data","Raw data files are publicly downloadable.","Can be combined with public processed data."
"data_access_status","Public processed data","Processed matrix or feature table is publicly available.","Does not imply raw files are public."
"data_access_status","Controlled access","Access requires application/governance approval.","Keep visible but do not label public download."
"reuse_readiness","Analysis-ready candidate","Public reusable data plus checked source/sample metadata and independent countability.","Still requires direct source verification before formal analysis."
