dataset_id,recommended_study_family,component_of_dataset_id,count_as_independent_cohort,decision,evidence_urls
DS006,pediatric_IBD_colon_GSE10616,,TRUE,"Pediatric colon-biopsy IBD expression source row; no current evidence of overlap with other registry rows.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE10616; https://pubmed.ncbi.nlm.nih.gov/18758464/"
DS007,pediatric_IBD_paired_blood_colon_GSE126124,,TRUE,"Paired pediatric blood/colon expression cohort; count once as its own source family.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126124; https://pubmed.ncbi.nlm.nih.gov/31618209/"
DS008,IBD_predictor_biopsy_GSE36807,,TRUE,"IBD/healthy intestinal-biopsy predictor-classifier cohort; no overlap evidence found.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36807; https://pubmed.ncbi.nlm.nih.gov/24155895/"
DS009,IBD_endoscopic_biopsy_Wu2007_GSE6731,,TRUE,"Endoscopic pinch-biopsy CD/UC/control expression cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6731; https://pubmed.ncbi.nlm.nih.gov/17262812/"
DS010,IBD_sigmoid_transcriptome_Lawrance2005_GSE1710,,TRUE,"Sigmoid mucosal-biopsy IBD cDNA microarray cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE1710; https://pubmed.ncbi.nlm.nih.gov/16107186/"
DS011,AIM2_IFI16_active_IBD_GSE59071,,TRUE,"Active IBD/control mucosal biopsy cohort focused on AIM2/IFI16 inflammasome biology.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59071; https://pubmed.ncbi.nlm.nih.gov/26313692/"
DS013,UC_mucosal_healing_blood_biomarkers_GSE94648,,TRUE,"Peripheral-blood biomarker cohort for mucosal healing/endoscopic response.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94648; https://pubmed.ncbi.nlm.nih.gov/28981629/"
DS015,UC_inflamed_colon_miRNA_mRNA_GSE48958,,TRUE,"UC/control inflamed-colon mRNA arm from integrated miRNA/mRNA study.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48958; https://pubmed.ncbi.nlm.nih.gov/25546151/"
DS043,treatment_naive_Crohn_FFPE_RNAseq_GSE221161,,TRUE,"Treatment-naive Crohn FFPE RNA-seq biomarker cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221161; https://pubmed.ncbi.nlm.nih.gov/38302662/"
DS045,IBD_colon_blood_scRNAseq_GSE150115,,TRUE,"Colon and blood single-cell immune profiling cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150115; https://pubmed.ncbi.nlm.nih.gov/32428507/"
DS066,colon_inflammation_adenoma_cancer_GSE4183,,TRUE,"Mixed colon inflammation/adenoma/cancer classification cohort with IBD/inflammation samples; not IBD-only.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE4183"
DS067,UC_active_inactive_mucosa_GSE38713,,TRUE,"Active/inactive UC and non-inflammatory control mucosal microarray cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38713"
DS068,IBD_PBMC_GSE3365,,TRUE,"PBMC CD/UC/control expression cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE3365"
DS084,vedolizumab_IBD_mucosal_response_E-MTAB-7845,,TRUE,"Baseline mucosal RNA-seq before vedolizumab therapy; no public evidence of subject overlap with GEMINI/DS088.","https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-7845; https://pubmed.ncbi.nlm.nih.gov/31446181/"
DS086,pediatric_CD_ileal_epithelial_RNAseq_GSE117875,,TRUE,"Newly diagnosed pediatric Crohn ileal epithelial-cell RNA-seq cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117875; https://pubmed.ncbi.nlm.nih.gov/30232290/"
DS087,Crohn_creeping_fat_GSE156044,,TRUE,"Crohn creeping-fat mesenteric adipose RNA-seq cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156044; https://pubmed.ncbi.nlm.nih.gov/32991841/"
DS089,gut_CD8_TRM_Crohn_GSE160925,,TRUE,"Sorted ileal CD8 tissue-resident T-cell RNA-seq cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160925; https://pubmed.ncbi.nlm.nih.gov/34224909/"
DS090,IBD_descending_colon_CAGE_GSE95437,,TRUE,"Descending-colon CAGE promoter/enhancer profiling cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE95437; https://pubmed.ncbi.nlm.nih.gov/29695774/"
DS092,UC_healed_nonhealed_RNAseq_E-MTAB-9731,,TRUE,"UC healed/non-healed biopsy RNA-seq cohort from BioStudies/ArrayExpress; publication fields remain unclear.","https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-9731"
DS094,terminal_ileal_Crohn_paired_multiomics_GSE171244,,TRUE,"Paired inflamed/non-inflamed terminal ileal Crohn transcriptome-microbiome study.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171244; https://pubmed.ncbi.nlm.nih.gov/34113837/"
DS096,Crohn_behavior_colon_RNAseq_GSE66207,,TRUE,"Crohn behavior phenotype colon RNA-seq subseries.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66207; https://pubmed.ncbi.nlm.nih.gov/26164662/"
DS098,NOD2_monocyte_Crohn_RNA_miRNA_GSE69446,,TRUE,"Crohn/control monocyte mRNA and miRNA sequencing under MDP stimulation; count once as multi-omics source family.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69446; https://pubmed.ncbi.nlm.nih.gov/29263823/"
DS100,IBD_VLP_macrophage_response_GSE135223,,TRUE,"In vitro macrophage response to VLP isolates from CD/UC/non-IBD resections; not a direct patient tissue cohort count.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135223; https://pubmed.ncbi.nlm.nih.gov/35394816/"
DS101,UC_preinflammatory_mucosa_GSE9452,,TRUE,"UC preinflammatory/inflamed/control colonic mucosa microarray cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE9452; https://pubmed.ncbi.nlm.nih.gov/19177426/"
DS103,UC_colon_organoid_GSE102746,,TRUE,"Patient-derived UC/control colon organoid RNA-seq cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102746; https://pubmed.ncbi.nlm.nih.gov/29983891/"
DS104,pediatric_IBD_rectal_ileal_splicing_GSE158952,,TRUE,"Pediatric/adolescent IBD rectal and ileal RNA-seq/splicing cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158952; https://pubmed.ncbi.nlm.nih.gov/34301333/"
DS108,active_quiescent_UC_DASL_GSE53306,,TRUE,"Active/quiescent UC and healthy-control colon DASL cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53306; https://pubmed.ncbi.nlm.nih.gov/26034135/"
DS012,IBD_peripheral_blood_GSE11499,,manual_review_needed,"Publication/PMID remains unclear; do not finalize until GEO sample metadata and publication provenance are checked.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11499"
DS044,UC_scRNAseq_GSE125527,,manual_review_needed,"Current publication title points to colorectal cancer transformation, not a primary IBD study; verify exact UC/control subset and whether this belongs as primary IBD row.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125527; https://pubmed.ncbi.nlm.nih.gov/32826341/"
DS046,IBD_surgical_bowel_GSE83687,,manual_review_needed,"Shares PMID 28892060 with DS102/CERTIFI paper context; needs source-level check before assigning independent family or linking to functional-genomics/CERTIFI family.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83687; https://pubmed.ncbi.nlm.nih.gov/28892060/"
DS093,Crohn_colon_splicing_GSE164871,,manual_review_needed,"No publication metadata in current row; source label is probably safe but manual review should confirm publication/provenance and sample independence.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164871"
DS095,SP140_Crohn_PBMC_perturbation_GSE161031,,manual_review_needed,"Possible conceptual/source-family relationship with DS099 SP140 work; verify donors/genotypes/publication lineage before countability label.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161031; https://pubmed.ncbi.nlm.nih.gov/35952671/"
DS099,SP140_Crohn_PBMC_macrophage_GSE83381,,manual_review_needed,"Possible conceptual/source-family relationship with DS095 SP140 work; needs sample/donor/source check before assigning independent countability.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83381; https://pubmed.ncbi.nlm.nih.gov/28783698/"
