"review_type","field","affected_rows_or_values","recommendation","manual_review_needed"
"allowed_values","curation_status","Needs verification; Partially verified; Verified; Deprecated/limited","Keep provenance like IBDTransDB or Cross-omics in verification_notes or verified_by, not status.","FALSE"
"allowed_values","verification_status","pending_review; source_checked; metadata_checked; publication_checked; needs_revision; analysis_ready_candidate","Do not encode access mode in verification_status.","FALSE"
"allowed_values","raw_data_available","Yes; No; Partial; Unclear","Public raw accessibility only; controlled raw access belongs in controlled_access and data_access_status.","FALSE"
"allowed_values","processed_data_available","Yes; No; Partial; Unclear","Current domain appears clean.","FALSE"
"allowed_values","controlled_access","Yes; No; Partial; Unclear","Current domain appears clean.","FALSE"
"allowed_values","clinical_metadata; endoscopy_available; treatment_metadata; longitudinal","Yes; No; Partial; Unclear","Move descriptive details to notes or verification_notes.","FALSE"
"allowed_values","data_access_status","Public raw data; Public processed data; Public portal; Controlled access; Publication only; Unclear","Semicolon-separated combinations are allowed; repository-specific prose should move to notes.","FALSE"
"allowed_values","citation_verified and *_checked","TRUE; FALSE","Current domain appears clean.","FALSE"
"allowed_values","usable_for_*","TRUE; FALSE; Unclear","Avoid Partial in use-case flags.","FALSE"
"violation","curation_status","86 rows use non-taxonomy labels including Source checked, Publication checked, Systematic discovery; source checked, Resource coverage promotion; source checked, Cross-omics staged promotion, and IBDTransDB staged labels","Safe mechanical cleanup: map to Partially verified unless a human explicitly promotes to Verified or Deprecated/limited.","FALSE"
"violation","verification_status","DS085; DS086; DS089; DS090; DS095; DS096; DS102; DS105; DS106 use verified_public_* values","Safe mechanical cleanup: map to publication_checked and preserve raw/processed detail in data_access_status and verification_notes.","FALSE"
"violation","data_access_status","43 rows including DS009; DS010; DS023; DS026; DS043; DS050-DS055; DS058; DS059; DS075; DS079-DS082; DS084-DS108 except DS083","Mostly safe mechanical cleanup: reduce to allowed labels such as Public raw data; Public processed data, keeping file-type detail in notes.","PARTIAL"
"violation","raw_data_available","DS043 = Controlled or planned dbGaP","Manual source review preferred before choosing No versus Unclear and controlled_access=Partial.","TRUE"
"violation","endoscopy_available","DS090 = Yes; subjects underwent sigmoidoscopy or colonoscopy","Safe mechanical cleanup: set to Yes and move detail to notes.","FALSE"
"violation","treatment_metadata","20 rows including DS081; DS082; DS086-DS092; DS094; DS095; DS097-DS100; DS102; DS105-DS108 contain prose","Safe mechanical cleanup where clear: Yes, No, Partial, or Unclear; move treatment names and timepoints to notes.","PARTIAL"
"violation","longitudinal","DS107 and DS108 contain prose","Manual review preferred because baseline-with-outcome and repeated active/inactive sampling are not identical longitudinal designs.","TRUE"
"violation","usable_for_host_microbiome","DS087 = Partial","Use Unclear if uncertain; otherwise choose TRUE or FALSE after source review.","TRUE"
"manual_review","DS043","Raw access phrase mixes controlled/planned dbGaP with public availability","Needs source check before choosing No versus Unclear.","TRUE"
"manual_review","DS075","data_access_status = Public repository record is not enough to classify access","Needs source review before mapping.","TRUE"
"manual_review","DS107","longitudinal status is baseline expression with week-8 outcome, not expression time series","Needs curator decision on longitudinal definition.","TRUE"
"manual_review","DS108","longitudinal status is repeated active/inactive same-site sampling","Use Partial only if the field permits partial longitudinal designs.","TRUE"
