"dataset_id","dataset_name","study_family","analysis_scenarios","omics_layer","disease","specimen_type","anatomical_site","sample_size_subjects","sample_size_samples","data_access_status","reuse_readiness","accession","repository","dataset_url","publication_url","caveats"
"DS001","IBDMDB / iHMP IBD Multi-omics","IBDMDB_iHMP_HMP2","cd vs control; uc vs control; cd vs uc; mucosal biopsy; ileum; colon; bulk transcriptomics; treatment response; pediatric","Multi-omics; Bulk transcriptomics; Metagenomics; Metatranscriptomics; Metabolomics; Metaproteomics; Virome","Crohn disease; ulcerative colitis; non-IBD controls","Stool samples; intestinal biopsies; blood","Colon; Ileum; Rectum; Blood; Stool","132","2,965 specimens across stool, biopsy, and blood components","Public processed data; controlled access for some components","Processed data reusable","GSE111889; phs001626.v1.p1; PRJNA398089","IBDMDB; GEO; HMP portal; dbGaP","https://ibdmdb.org","https://www.nature.com/articles/s41586-019-1237-9","No major registry-level blocker identified"
"DS003","GSE193677","MSCCR_adult_IBD_biopsy_RNAseq","cd vs control; uc vs control; cd vs uc; mucosal biopsy; bulk transcriptomics","Bulk transcriptomics","Crohn disease; ulcerative colitis; controls","Biopsy specimens","Intestinal mucosa; multiple sites","Unclear","2490","Public raw data; public processed data","Analysis-ready candidate","GSE193677","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193677","https://pubmed.ncbi.nlm.nih.gov/36109152/","No major registry-level blocker identified"
"DS004","GSE235236","Macrophage_neutrophil_IBD_NatCommun2023","cd vs control; uc vs control; cd vs uc; mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics","Crohn disease; ulcerative colitis; healthy controls","Colonic biopsies","Colon; sigmoid colon; rectum; ascending colon; descending colon; transverse colon","Unclear","56","Public raw data; public processed data","Analysis-ready candidate","GSE235236","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235236","https://pubmed.ncbi.nlm.nih.gov/37495570/","No major registry-level blocker identified"
"DS006","GSE10616","pediatric_IBD_colon_GSE10616","cd vs control; uc vs control; cd vs uc; mucosal biopsy; colon; bulk transcriptomics; pediatric","Bulk transcriptomics","Colon-only Crohn disease; ileocolonic Crohn disease; ulcerative colitis; healthy controls","Colonic biopsies","Colon","Unclear","58","Public raw data; public processed data","Analysis-ready candidate","GSE10616","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE10616","https://pubmed.ncbi.nlm.nih.gov/18758464/","No major registry-level blocker identified"
"DS007","GSE126124","pediatric_IBD_paired_blood_colon_GSE126124","cd vs control; uc vs control; cd vs uc; mucosal biopsy; colon; bulk transcriptomics; pediatric","Bulk transcriptomics","Crohn disease; ulcerative colitis; IBD-unclassified; non-IBD controls","Paired whole blood and colonic biopsy","Blood; colon","98","176","Public raw data; public processed data","Analysis-ready candidate","GSE126124","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126124","https://pubmed.ncbi.nlm.nih.gov/31618209/","No major registry-level blocker identified"
"DS008","GSE36807","IBD_predictor_biopsy_GSE36807","cd vs control; uc vs control; cd vs uc; mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics","Crohn disease; ulcerative colitis; healthy controls","Intestinal biopsies; colonic specimens","Colon","Unclear","35","Public raw data; public processed data","Analysis-ready candidate","GSE36807","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36807","https://pubmed.ncbi.nlm.nih.gov/24155895/","No major registry-level blocker identified"
"DS009","GSE6731","IBD_endoscopic_biopsy_Wu2007_GSE6731","cd vs control; uc vs control; cd vs uc; bulk transcriptomics","Bulk transcriptomics","Active/inactive Crohn disease; active/inactive ulcerative colitis; infectious colitis; controls","Endoscopic pinch biopsies","Unclear","Unclear","36","Public raw data; processed data unclear","Raw data reusable","GSE6731","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6731","https://pubmed.ncbi.nlm.nih.gov/17262812/","No major registry-level blocker identified"
"DS010","GSE1710","IBD_sigmoid_transcriptome_Lawrance2005_GSE1710","cd vs control; uc vs control; cd vs uc; mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics","Crohn disease; ulcerative colitis; non-IBD controls","Mucosal biopsy samples","Sigmoid colon","31","31","Public processed data only","Processed data reusable","GSE1710","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE1710","https://pubmed.ncbi.nlm.nih.gov/16107186/","No major registry-level blocker identified"
"DS011","GSE59071","AIM2_IFI16_active_IBD_GSE59071","cd vs control; uc vs control; cd vs uc; mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics","Ulcerative colitis; Crohn disease; controls","Intestinal mucosal biopsies","Colon","116","116","Public raw data; public processed data","Analysis-ready candidate","GSE59071","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59071","https://pubmed.ncbi.nlm.nih.gov/26313692/","No major registry-level blocker identified"
"DS012","GSE11499","IBD_peripheral_blood_GSE11499","cd vs uc; bulk transcriptomics","Bulk transcriptomics","Crohn disease; ulcerative colitis","Peripheral blood","Blood","Unclear","11","Public raw data; public processed data","Analysis-ready candidate","GSE11499","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11499","Unclear","No major registry-level blocker identified"
