"study_family","dataset_count","counted_cohort_rows","origin_types","reuse_readiness_best","Bulk transcriptomics","Single-cell transcriptomics","Spatial transcriptomics","Microbiome","Metagenomics","Metatranscriptomics","Proteomics","Metaproteomics","Metabolomics","DNA methylation / epigenomics","Genetics / GWAS","Multi-omics","dataset_ids"
"ACT1_infliximab_UC","2","1","Clinical trial or treatment cohort","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS062; DS106"
"AIM2_IFI16_active_IBD_GSE59071","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS011"
"Anti_TNF_longitudinal_single_cell_IBD","1","1","Clinical trial or treatment cohort","Processed data reusable","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS019"
"BERGAMOT_etrolizumab_Crohn","1","1","Clinical trial or treatment cohort","Processed data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS085"
"Bacteroides_vulgatus_UC_multiomics","1","1","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","DS058"
"CERTIFI_ustekinumab_Crohn","1","1","Clinical trial or treatment cohort","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS102"
"Crohn_behavior_colon_RNAseq_GSE66207","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS096"
"Crohn_colon_splicing_GSE164871","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS093"
"Crohn_colon_wall_compartment_proteomics","1","1","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","DS054"
"Crohn_creeping_fat_GSE156044","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS087"
"Crohn_diet_intervention_stool_metaproteomics","1","1","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","DS081"
"Crohn_flare_serum_fecal_metabolomics","1","1","Public repository accession","Raw data reusable","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","DS122"
"Crohn_ileal_colonic_ulcer_proteomics","1","1","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","DS051"
"Crohn_serum_epithelial_component_proteins","1","1","Public repository accession","Raw data reusable","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","DS050"
"DNMT3A_epithelial_barrier_epigenomics","1","0","Public repository accession","Processed data reusable","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","DS032"
"EMBARK_Genentech_IBD_mucosal_microarray","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS016"
"EUCALYPTUS_etrolizumab_UC","1","1","Clinical trial or treatment cohort","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS105"
"GEMINI_vedolizumab_UC_with_IFX_comparator","1","0","Clinical trial or treatment cohort","Processed data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS088"
"GSE32148_IBD_PBL_methylation","1","1","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","DS029"
"GSE67250_Crohn_fibrosis_fibroblast_multiomics","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","DS097"
"GSE87648_IBD_blood_EWAS","1","1","Consortium or atlas","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","DS028"
"Gaujoux_IFX_CD_blood_GSE107865","1","1","Clinical trial or treatment cohort","Raw data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS069"
"Genentech_Edinburgh_UC_colon_regional_microarray","1","1","Public repository accession","Raw data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS065"
"Genentech_IBD_fecal_DIA_proteomics","1","1","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","DS023"
"Gut_Cell_Atlas_IBDTransDB_source_cohort","1","1","Consortium or atlas","Analysis-ready candidate","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS077"
"Gut_Cell_Atlas_source_cohort","1","1","Consortium or atlas","Processed data reusable","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS078"
"HCA_Crohn_ileal_mucosa_source_cohort","1","1","Consortium or atlas","Analysis-ready candidate","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS021"
"IBD200_location_specific_CD_multiomics","2","1","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","DS026; DS059"
"IBDMDB_iHMP_HMP2","1","1","Consortium or atlas","Processed data reusable","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","DS001"
"IBD_PBMC_GSE3365","1","1","Public repository accession","Raw data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS068"
"IBD_PBMC_multiome_EGAS50000000140","1","1","Public repository accession","Requires access approval","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS117"
"IBD_VLP_macrophage_response_GSE135223","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS100"
"IBD_colon_blood_scRNAseq_GSE150115","1","1","Public repository accession","Metadata usable","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS045"
"IBD_descending_colon_CAGE_GSE95437","1","1","Consortium or atlas","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS090"
"IBD_endoscopic_biopsy_Wu2007_GSE6731","1","1","Public repository accession","Raw data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS009"
"IBD_fecal_metaproteomics_diagnosis","1","1","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","DS024"
"IBD_flareup_fecal_metaproteomics","1","1","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","DS082"
