"dataset_id","field","recommended_value"
"DS106","study_family","ACT1_infliximab_UC"
"DS106","component_of_dataset_id",""
"DS106","count_as_independent_cohort","TRUE"
"DS106","overlap_notes","Primary ACT1 infliximab UC dataset row. GSE23597 contains 48 ACT1 patients and 113 colonic biopsy arrays across baseline, week 8, and week 30; baseline patient/timepoint labels overlap the ACT1 subset represented by GSE12251."
"DS106","notes","ACT1 placebo-controlled infliximab UC expression substudy; primary ACT1 family row for cohort counting. Contains longitudinal baseline, week 8, and week 30 biopsy arrays."
"DS106","verification_notes","ACT1 source verification complete for cohort-family assignment. GEO GSE23597 and PMID 21448149 support 48 ACT1 UC patients and 113 biopsies across baseline/week 8/week 30; same ACT1 patient/timepoint labels show GSE12251 is a baseline subset/component."
"DS062","study_family","ACT1_infliximab_UC"
"DS062","component_of_dataset_id","DS106"
"DS062","count_as_independent_cohort","FALSE"
"DS062","overlap_notes","Component/baseline ACT1 subset of DS106. GSE12251 contains 22 ACT1 patients and 23 pre-infliximab baseline arrays, with patient/timepoint labels matching baseline ACT1 samples in GSE23597; do not count independently from DS106."
"DS062","notes","ACT1 baseline pre-infliximab subset; overlaps DS106 by patient/timepoint labels and should be retained only as a component/accession-specific row."
"DS062","verification_notes","ACT1 source verification complete for overlap assignment. GEO GSE12251 lists 22 ACT1 patients and 23 baseline arrays, with IDs matching baseline ACT1 samples in GSE23597; mark component_of_dataset_id=DS106 and count_as_independent_cohort=FALSE."
"DS062","publication_year","2009"
"DS062","doi","10.1136/gut.2009.178665"
"DS062","pmid","19700435"
"DS062","publication_url","https://pubmed.ncbi.nlm.nih.gov/19700435/"
"DS063","study_family","Leuven_infliximab_UC_Gut2009"
"DS063","component_of_dataset_id",""
"DS063","count_as_independent_cohort","TRUE"
"DS063","overlap_notes","Distinct Leuven/KULeuven infliximab UC cohort from the same Gut 2009 publication family as GSE12251. GEO lists 24 active UC patients plus 6 controls with Leuven-style sample labels; no source evidence of subject/sample overlap with ACT1/GSE23597."
"DS063","notes","Leuven/KULeuven infliximab UC cohort from Gut 2009 two-cohort study; treat as distinct from ACT1 rows unless future source-level review shows otherwise."
"DS063","verification_notes","Source verification supports distinct Leuven cohort assignment. GEO GSE14580 and PMID 19700435 describe 24 active UC patients plus 6 controls from KULeuven/TARGID Leuven; same Gut 2009 publication family as DS062 but no evidence of ACT1 sample overlap."
"DS063","publication_year","2009"
"DS063","doi","10.1136/gut.2009.178665"
"DS063","pmid","19700435"
"DS063","publication_url","https://pubmed.ncbi.nlm.nih.gov/19700435/"
