accession,omics_layer,study_name,current_coverage_status,confidence_manual_review_notes,evidence_url
PXD006383,Proteomics,"Pediatric IBD/control colonic mucosal-luminal interface proteomes","Missing exact accession","High; human treatment-naive pediatric IBD/control proteomics","https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD006383"
PXD024229,Proteomics,"Pediatric IBD colon biopsy proteomics, treatment response",Missing,"High; human pediatric IBD, biopsy, response outcome","https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD024229"
PXD024060,Proteomics/glycoproteomics,"SIgA glycosylation in Crohn's disease and UC",Missing,"High; human CD/UC immune-proteomics; sample-count/countability needs review","https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD024060"
PXD057120,"Stool proteomics","Stool protein biomarkers classifying CD vs UC",Missing,"High; human stool CD/UC proteomics, recent PMID 41036804","https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD057120"
PXD041934,"Proteomics / host-microbe","Bile acids at host-Enterobacteriaceae interface in IBD",Missing,"Medium-high; IBD patient component clear, but human cohort boundaries need manual review","https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD041934"
PXD013427,Metaproteomics,"Lysine acetylation of microbiome in pediatric Crohn's disease",Missing,"High; human pediatric CD/control microbiome metaproteomics; related general dataset PXD015482 should not be separate unless needed","https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD013427; https://www.nature.com/articles/s41467-020-17916-9"
PXD022433,Metaproteomics,"Ulcerative colitis human gut microbiome proteins",Missing,"High; human UC/healthy stool metaproteomics; PMID 35033677 publication cites PRIDE","https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD022433; https://pmc.ncbi.nlm.nih.gov/articles/PMC8941213/"
PXD053257,Metaproteomics,"Human stool IBD biologic-response LC-MS/MS",Missing,"High; human IBD stool before/after biologics, PMID 40360052","https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD053257"
MSV000082823,Metaproteomics,"Adult human gut microbiomes, post-surgery Crohn's disease",Missing,"Medium; small Crohn's post-surgery cohort, countability likely low/manual","https://massive.ucsd.edu/ProteoSAFe/QueryMSV?id=MSV000082823"
MSV000086510,Metaproteomics,"UC fecal transplant metaproteomic study",Missing,"Low-medium; UC patient feces transplanted into mice, not a direct human cohort row unless registry tracks donor-derived experiments","https://massive.ucsd.edu/ProteoSAFe/QueryMSV?id=MSV000086510"
ST003161,Metabolomics,"SOURCE diet-omics Crohn's disease cohort",Missing,"High; human CD/control metabolomics with diet/microbiome context","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003161"
"ST003312; ST003313",Metabolomics,"Serum and fecal metabolome/microbiome heralding Crohn's flare",Missing,"High; same cohort/project, recommend one countable family row with both serum/feces accessions","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003312; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003313&StudyType=MS&ResultType=1"
ST000923,Metabolomics,"Longitudinal metabolomics of IBDMDB/iHMP stool","Cohort covered by DS001, accession not explicit","Not a new cohort; add as DS001 alias/component only if accession completeness is desired","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000923"
"PRJEB18471 / ERP020401",Metagenomics,"Dynamics of the gut microbiome in IBD",Missing,"High; 118 human subjects, 555 samples, CD/UC/controls","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB18471"
"PRJEB15371 / ERP017091",Metagenomics,"123CD: Crohn's disease and exclusive enteral nutrition",Missing,"High; human CD/control shotgun metagenomics","https://www.omicsdi.org/dataset/project/PRJEB15371"
"PRJNA1198911 / SRP551754",Metagenomics,"Newly diagnosed treatment-naive IBD fecal microbiota",Missing,"High; human stool, CD/UC/indeterminate colitis/control metadata","https://www.ncbi.nlm.nih.gov/sra/SRX28668471"
"PRJEB50699 / ERP135319",Metagenomics,"LOTUS oral lyophilized FMT for UC, donor shotgun data",Missing,"Medium; UC trial-related but archive title emphasizes donor samples, so countability needs review","https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB50699&result=study&fields=study_accession,secondary_study_accession,study_title,study_description&format=json"
"GSE105798 / PRJNA415432",Methylation,"Genome-wide DNA methylation in Crohn's disease",Missing,"High; human CD methylation 450K","https://www.omicsdi.org/dataset/geo/GSE105798"
"GSE81961 / PRJNA323506",Methylation,"Peripheral blood methylation in female Crohn's disease",Missing,"High; human blood, CD vs controls","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81961"
GSE112611,Methylation,"RISK pediatric Crohn's disease blood methylation, diagnosis/follow-up",Missing,"High; large pediatric CD inception cohort, 402 samples","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112611"
GSE217164,Methylation/epigenomics,"Crohn's adipose-stem-cell methylome plus transcriptome",Missing,"Medium-high; human CD tissue-derived cells; multi-omics but narrow sample source","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217164"
GSE232891,Methylation/epigenomics,"Saliva EPIC methylation in CD, UC, controls",Missing,"High; human, 227 CD / 75 UC / 250 controls; publication missing in GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232891"
phs000130.v1.p1,Genetics/GWAS,"NIDDK IBDGC Crohn's disease GWAS","Missing exact accession; related to DS035/IIBDGC","Controlled access; likely resource-only/unclear count, not independent if DS035 represents IIBDGC umbrella","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000130.v1.p1"
phs000345.v1.p1,Genetics/GWAS,"NIDDK IBDGC UC GWAS","Missing exact accession; related to DS035/IIBDGC","Controlled access; same policy as above","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000345.v1.p1"
phs001642.v2.p1,Genetics/WGS-exome,"CCDG Autoimmune IBD Exomes and Genomes",Missing,"High as resource; controlled access, resource-only unless registry counts genetics resources separately","https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001642.v2.p1"
phs001076,Genetics/exome,"Inflammatory Bowel Disease Exome Sequencing Study",Missing,"Medium-high; EGA page lists dbGaP archiver, broad exome initiative; overlap with other IBD genetics resources needs review","https://www.ega-archive.org/studies/phs001076"
"EGAS00001000530 / EGAD00001001354",Genetics/exome,"Whole-exome sequencing of approximately 700 IBD cases",Missing,"High as controlled-access EGA candidate; count as resource-only unless subject-level independence is proven","https://ega-archive.org/studies/EGAS00001000530"
