dataset_id,recommended_study_family,recommended_component_of_dataset_id,recommended_count_as_independent_cohort,recommended_overlap_notes,evidence_urls
DS017,Macrophage_neutrophil_IBD_NatCommun2023,,Unclear,"Direct IBD single-cell source row. Group with the same Nat Commun 2023 source family as DS004/GSE235236 bulk RNA-seq and DS018/GSE234713 CosMx spatial data. No current scIBD/Gut Cell Atlas/HCA coverage hit found, but do not mark fully independent until subject/sample overlap across DS004/DS017/DS018 is resolved.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214695; https://www.nature.com/articles/s41467-023-40156-6"
DS019,Anti_TNF_longitudinal_single_cell_IBD,,TRUE,"Direct longitudinal IBD single-cell source cohort. No current scIBD/Gut Cell Atlas/HCA component hit found in local coverage; keep independent unless a future integrated resource reuses it.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282122; https://www.nature.com/articles/s41590-024-01994-8"
DS020,scIBD_Gut_Cell_Atlas_source_cohort,,TRUE,"Direct Crohn single-cell source cohort reused by scIBD and Gut Cell Atlas; count the source dataset once, not again through either portal.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134809; https://www.nature.com/articles/s43588-023-00464-9; https://pmc.ncbi.nlm.nih.gov/articles/PMC11578898/"
DS021,HCA_Crohn_ileal_mucosa_source_cohort,,TRUE,"Specific HCA/GEO project-backed Crohn ileal mucosa dataset. Keep as an independent primary source row; do not make it component_of the broad HCA portal row.","https://explore.data.humancellatlas.org/projects/9dd91b6e-7c62-49d3-a3d4-74f603deffdb; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202052; https://doi.org/10.1093/ibd/izac201"
DS070,scIBD_Gut_Cell_Atlas_source_cohort,,TRUE,"Keep current value. Direct IBD source cohort reused by scIBD and Gut Cell Atlas; count source dataset once.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116222; https://www.nature.com/articles/s43588-023-00464-9; https://pmc.ncbi.nlm.nih.gov/articles/PMC11578898/"
DS071,scIBD_Gut_Cell_Atlas_source_cohort,,TRUE,"Keep current value. Direct IBD source cohort reused by scIBD and Gut Cell Atlas; count source dataset once.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114374; https://www.nature.com/articles/s43588-023-00464-9; https://pmc.ncbi.nlm.nih.gov/articles/PMC11578898/"
DS072,scIBD_source_cohort,,TRUE,"Keep current value. Direct IBD source cohort listed in scIBD coverage; count source dataset once.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148837; https://www.nature.com/articles/s43588-023-00464-9"
DS073,scIBD_source_cohort,,TRUE,"Keep current value. Direct IBD source cohort listed in scIBD coverage; count source dataset once.","https://singlecell.broadinstitute.org/single_cell/study/SCP259; https://www.nature.com/articles/s43588-023-00464-9"
DS074,scIBD_Gut_Cell_Atlas_source_cohort,,TRUE,"Keep current value. Direct IBD source cohort reused by scIBD and Gut Cell Atlas; count source dataset once.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157477; https://www.nature.com/articles/s43588-023-00464-9; https://pmc.ncbi.nlm.nih.gov/articles/PMC11578898/"
DS075,scIBD_source_cohort,,TRUE,"Keep current family/counting value, but retain access caveat elsewhere. Cross-disease ImmPort source cohort with UC component listed in scIBD; count source dataset once, not as a portal-derived duplicate.","https://www.immport.org/shared/data/query/ui/study/summary/SDY1765; https://www.nature.com/articles/s43588-023-00464-9; https://doi.org/10.1016/j.medj.2022.05.002"
DS076,scIBD_Gut_Cell_Atlas_source_cohort,,TRUE,"Keep current value. Direct pediatric IBD source cohort reused by scIBD and Gut Cell Atlas; count source dataset once.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121380; https://www.nature.com/articles/s43588-023-00464-9; https://pmc.ncbi.nlm.nih.gov/articles/PMC11578898/"
DS077,Gut_Cell_Atlas_IBDTransDB_source_cohort,,TRUE,"Keep current value. Direct IBD source cohort present in Gut Cell Atlas and IBDTransDB coverage; count source dataset once.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182270; https://pmc.ncbi.nlm.nih.gov/articles/PMC11578898/; https://doi.org/10.1038/s41591-022-01680-y"
DS078,Gut_Cell_Atlas_source_cohort,,TRUE,"Keep current value. Direct Crohn source cohort listed in Gut Cell Atlas coverage; count source dataset once.","https://singlecell.broadinstitute.org/single_cell/study/SCP1884; https://github.com/LJ-Kong/cd_atlas_single_cell; https://pmc.ncbi.nlm.nih.gov/articles/PMC11578898/"
