metric,value,row_ids
total_rows,102,
blank_study_family,0,
blank_count_as_independent_cohort,0,
count_TRUE,81,
count_FALSE,5,"DS032; DS039; DS048; DS059; DS062"
count_Unclear,16,"DS004; DS005; DS017; DS018; DS027; DS035; DS040; DS041; DS042; DS047; DS057; DS061; DS088; DS095; DS099; DS107"
invalid_count_as_independent_cohort_values,0,
missing_overlap_notes_where_count_FALSE_or_Unclear,0,
suspicious_component_of_dataset_id_refs,1,DS039
corrected_component_of_dataset_id_refs,1,"DS039 component_of_dataset_id cleared because Unclear is not a valid dataset_id reference"
