"field","value","count","example_ids"
"disease","Crohn disease","13","DS043; DS047; DS050; DS051; DS054; DS064; DS069; DS085"
"disease","Ulcerative colitis; healthy controls","11","DS052; DS070; DS071; DS072; DS073; DS077; DS108; DS112"
"disease","Ulcerative colitis","7","DS053; DS079; DS083; DS092; DS105; DS106; DS113"
"disease","UC","6","DS027; DS048; DS049; DS057; DS062; DS063"
"disease","CD; UC; healthy controls","4","DS004; DS008; DS026; DS059"
"disease","UC; controls","3","DS015; DS058; DS060"
"disease","UC; healthy controls","3","DS025; DS044; DS065"
"disease","Crohn's disease; ulcerative colitis; controls","3","DS029; DS030; DS031"
"disease","UC; CD; healthy controls","3","DS017; DS018; DS023"
"disease","Crohn disease; healthy controls","3","DS089; DS098; DS107"
"disease","Crohn disease; controls","3","DS074; DS093; DS122"
"disease","UC; CD; controls","3","DS011; DS014; DS045"
"disease","Crohn disease; ulcerative colitis","3","DS084; DS104; DS117"
"disease","Ulcerative colitis; normal controls","2","DS080; DS103"
"disease","IBD; controls","2","DS028; DS056"
"disease","Pediatric UC","2","DS039; DS042"
"disease","IBD; CD; UC","2","DS035; DS061"
"disease","CD; UC; non-IBD controls","2","DS001; DS016"
"disease","Crohn disease; ulcerative colitis; non-diseased controls","2","DS118; DS119"
"disease","CD; UC","2","DS012; DS019"
"disease","CD; UC; controls","2","DS003; DS055"
"disease","Crohn disease; non-IBD controls","2","DS021; DS096"
"disease","Pediatric Crohn disease; non-IBD controls","1","DS121"
"disease","Crohn disease; ulcerative colitis; healthy controls","1","DS120"
"disease","Crohn disease; healthy/non-IBD controls","1","DS086"
"disease","Crohn disease-associated fibrosis; diverticulitis controls","1","DS097"
"disease","Crohn disease; healthy household controls","1","DS081"
"disease","Active UC; active CD; healthy controls","1","DS082"
"disease","Crohn disease; inflammatory bowel disease; normal/control samples also appear in GEO sample metadata","1","DS102"
"disease","Inflammatory bowel disease; Crohn disease; ulcerative colitis; healthy controls","1","DS090"
"disease","Crohn disease; healthy controls; macrophage donor disease status unknown","1","DS099"
"disease","Inflammatory bowel disease; Crohn disease and ulcerative colitis noted in study description","1","DS091"
"disease","Crohn disease; ulcerative colitis; non-IBD controls","1","DS100"
"disease","Crohn disease; healthy ileal controls","1","DS087"
"disease","Ulcerative colitis; controls","1","DS101"
"disease","Ulcerative colitis; non-IBD controls","1","DS088"
"disease","Crohn disease; controls; varying inflammation status","1","DS078"
"disease","Crohn's disease","1","DS020"
"disease","UC; CD; non-IBD controls","1","DS013"
"disease","IBD-relevant mechanism; experimental colitis","1","DS032"
"disease","CD; UC; healthy controls; IBS; colon adenoma; gastric carcinoma","1","DS024"
"disease","CD; UC; normal controls","1","DS010"
"disease","Colon-only CD; ileo-colonic CD; UC; healthy controls","1","DS006"
"disease","Pediatric CD; UC; non-IBD controls","1","DS005"
"disease","Active/inactive CD; active/inactive UC; infectious colitis; controls","1","DS009"
"disease","CD; UC; IBDU; non-IBD controls","1","DS007"
"disease","Crohn disease; UC; healthy controls","1","DS068"
"disease","Active UC; inactive UC; non-inflammatory controls","1","DS067"
"disease","Pediatric-onset colitis; Crohn disease; ulcerative colitis; IBD","1","DS076"
"disease","Ulcerative colitis; rheumatoid arthritis; osteoarthritis; Sjogren's syndrome; idiopathic pulmonary fibrosis; interstitial lung disease; keratoconjunctivitis sicca","1","DS075"
"disease","IBD/inflammation; adenoma; colorectal cancer; controls","1","DS066"
"disease","Pediatric CD; pediatric UC; non-IBD controls","1","DS040"
"disease","Pediatric UC; non-IBD controls","1","DS038"
"disease","IBD; CD; UC; controls","1","DS046"
"disease","Pediatric CD; non-IBD controls","1","DS041"
"population","Human","43","DS028; DS029; DS044; DS045; DS046; DS047; DS048; DS049"
"population","Unclear","15","DS004; DS008; DS009; DS010; DS011; DS012; DS013; DS014"
"population","Pediatric","5","DS005; DS006; DS007; DS042; DS076"
"population","Human; anti-integrin therapy context","3","DS114; DS115; DS116"
"population","Adult human","3","DS073; DS074; DS084"
"population","Pediatric; RISK cohort","3","DS040; DS041; DS121"
"population","Adult","3","DS003; DS081; DS091"
"population","Pediatric; PROTECT cohort","2","DS038; DS039"
"population","Human; pediatric publication context","2","DS030; DS031"
"population","Pediatric/young patients","2","DS021; DS043"
"population","Human; age unclear","2","DS024; DS025"
"population","Human; PROTECT pediatric UC cohort","2","DS027; DS057"
"population","Human anti-TNF-alpha refractory Crohn disease patients in phase 2b ustekinumab study; normal/control samples also present in later GEO sample records","1","DS102"
"population","Pediatric/adolescent IBD patients age 8-20 years","1","DS104"
"population","Adult; SDRF ages 20-66","1","DS092"
"population","Human Crohn disease patients stratified by Montreal behavior B1/B2/B3 and non-IBD controls","1","DS096"
"population","Human; active UC, UC remission, active CD, CD remission, and healthy controls","1","DS090"
"population","Human; terminal ileal Crohn disease patients","1","DS094"
"population","Human Crohn disease patients; SP140 SNP wild-type and homozygous risk genotype groups","1","DS095"
"population","Human; IBD patients","1","DS117"
"population","Adult; Crohn disease patients on anti-TNF therapy","1","DS111"
"population","Adult; UC patients treated with vedolizumab","1","DS113"
"population","Adult; UC vedolizumab responders and non-responders; healthy controls","1","DS112"
"population","Human moderate-to-severe active UC patients in ACT 1 placebo-controlled infliximab study","1","DS106"
"population","Human UC patients enrolled in phase II EUCALYPTUS etrolizumab study; prior anti-TNF and anti-TNF-naive strata present","1","DS105"
"population","Adult; Crohn disease","1","DS110"
"population","Adult; moderate-to-severe Crohn disease; UNITI-2 clinical trial context","1","DS109"
"population","Human; active UC, UC in remission, and healthy controls","1","DS053"
"population","Human; inflammatory, stricturing, and fistulizing Crohn disease phenotypes; publication also includes UC, RA, and healthy/control comparison cohorts","1","DS050"
"population","Pediatric or adult","1","DS060"
"population","Human; IBD200 cohort","1","DS059"
"population","Human; IBD200 cohort; age unclear","1","DS026"
"population","Mixed (adult and pediatric)","1","DS001"
"population","Mixed","1","DS035"
"population","Human cell line and mouse","1","DS032"
"population","Human adults from BERGAMOT cohort 1; etrolizumab or placebo; moderate-to-severe CD trial context","1","DS085"
"population","Human; moderate-to-severe UC trial cohort","1","DS083"
"population","Human; active ileal Crohn disease patients and healthy controls; patient IDs 1-7 in GEO","1","DS089"
"population","Newly diagnosed pediatric Crohn disease patients and healthy controls; treatment-naive CD stated in GEO conclusion","1","DS086"
"population","Human; 12 UC patients grouped by infliximab response and severity","1","DS079"
"population","Adult human; mouse data also present","1","DS071"
